334,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY
335,19K504,HIGH SCHOOL FOR CIVIL RIGHTS
336,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL
337,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL
338,19K583,MULTICULTURAL HIGH SCHOOL
339,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
340,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY
341,19K639,BROOKLYN LAB SCHOOL
342,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL
343,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
344,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS"
345,20K445,NEW UTRECHT HIGH SCHOOL
346,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY
347,20K490,FORT HAMILTON HIGH SCHOOL
348,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL
349,20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE
350,20K658,FRANKLIN DELANO ROOSEVELT YABC
351,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE
352,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES
353,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT
354,21K410,ABRAHAM LINCOLN HIGH SCHOOL
355,21K412/21K411,ABRAHAM LINCOLN YABC/LEARNING TO WORK GED AT ABRAHAM LINCOLN
356,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL
357,21K525,EDWARD R. MURROW HIGH SCHOOL
358,21K540,JOHN DEWEY HIGH SCHOOL
359,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC
360,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS
361,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL
362,21K690,BROOKLYN STUDIO SECONDARY SCHOOL
363,21K728,LIBERATION DIPLOMA PLUS
364,22K405,MIDWOOD HIGH SCHOOL
365,22K425,JAMES MADISON HIGH SCHOOL
366,22K495,SHEEPSHEAD BAY HIGH SCHOOL
367,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES
368,22K555,BROOKLYN COLLEGE ACADEMY
369,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL
370,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL
